rebalance_date,strategy,universe,asset,weight,mrc,rc,rc_share
2023-07-09,rp_sample_crypto,crypto,btc_return,0.058755597005244395,0.06972614365682575,0.004096801197430232,0.20015429342616278
2023-07-09,rp_sample_crypto,crypto,eth_return,0.04619327101042217,0.08868966370968698,0.004096865671564775,0.20015744338981048
2023-07-09,rp_sample_crypto,crypto,gold_return,0.2278953525926652,0.01796625299140724,0.004094425560245778,0.20003822873100757
2023-07-09,rp_sample_crypto,crypto,moex_return,0.16014619186437615,0.025574844045660874,0.004095713881437904,0.20010117125750307
2023-07-09,rp_sample_crypto,crypto,ofz_return,0.5070095875272921,0.0080558814300935,0.004084409121040477,0.19954886319551596
2023-07-09,rp_sample_crypto,crypto,ruonia_return,6.754028963168977e-19,-9.324733111660962e-05,-6.297951750997892e-23,-3.0769422825392424e-21
2023-07-09,rp_shrink_base,base,gold_return,0.2019766303798565,0.015824891393585522,0.0031962582398035954,0.2501756664714639
2023-07-09,rp_shrink_base,base,moex_return,0.15235216757873057,0.020988445025000933,0.003197635093665916,0.25028343477639947
2023-07-09,rp_shrink_base,base,ofz_return,0.27066754382940167,0.011799411339502564,0.0031937176858959494,0.24997681371321773
2023-07-09,rp_shrink_base,base,ruonia_return,0.3750036582120113,0.00850243610044388,0.003188444641380323,0.249564085038919
2023-07-09,rp_shrink_crypto,crypto,btc_return,0.03926524472859629,0.062097176015064315,0.00243826081318622,0.1668777686464095
2023-07-09,rp_shrink_crypto,crypto,eth_return,0.03093205902381833,0.07882764264414736,0.0024383012949772253,0.16688053927329127
2023-07-09,rp_shrink_crypto,crypto,gold_return,0.13968811720356192,0.017446231473440564,0.0024370312268224364,0.1667936141426597
2023-07-09,rp_shrink_crypto,crypto,moex_return,0.10904265530302891,0.022354118722790865,0.0024375524624922693,0.1668292881956774
2023-07-09,rp_shrink_crypto,crypto,ofz_return,0.2573968232414954,0.009455562714258327,0.0024338318046108246,0.1665746414893881
2023-07-09,rp_shrink_crypto,crypto,ruonia_return,0.42367510049949925,0.005726276418224676,0.002426080736979252,0.16604414825257396
2023-10-08,aw_base,base,gold_return,0.2,0.010828846568673233,0.002165769313734647,0.12567228542556994
2023-10-08,aw_base,base,moex_return,0.3,0.03699358297765169,0.011098074893295508,0.64398383836159
2023-10-08,aw_base,base,ofz_return,0.35,0.011363632359071889,0.0039772713256751606,0.2307876347150165
2023-10-08,aw_base,base,ruonia_return,0.15,-5.098331974938873e-05,-7.647497962408309e-06,-0.0004437585021767439
2023-10-08,aw_crypto,crypto,btc_return,0.05,0.06602535274582556,0.0033012676372912784,0.15871109919645074
2023-10-08,aw_crypto,crypto,eth_return,0.05,0.0844441819743344,0.00422220909871672,0.20298610131604447
2023-10-08,aw_crypto,crypto,gold_return,0.2,0.015434516862530048,0.0030869033725060098,0.14840536460280707
2023-10-08,aw_crypto,crypto,moex_return,0.25,0.029699030684428737,0.007424757671107184,0.3569512019981459
2023-10-08,aw_crypto,crypto,ofz_return,0.35,0.007927441576402464,0.002774604551740862,0.13339134739272085
2023-10-08,aw_crypto,crypto,ruonia_return,0.1,-9.258597045476224e-05,-9.258597045476225e-06,-0.00044511450616898003
2023-10-08,ew_base,base,gold_return,0.25,0.01806587585169444,0.00451646896292361,0.29834870681226144
2023-10-08,ew_base,base,moex_return,0.25,0.03336082807715105,0.008340207019287763,0.5509370260656733
2023-10-08,ew_base,base,ofz_return,0.25,0.00919802759707866,0.002299506899269665,0.1519007249545847
2023-10-08,ew_base,base,ruonia_return,0.25,-7.184344834131337e-05,-1.7960862085328343e-05,-0.0011864578325193114
2023-10-08,ew_crypto,crypto,btc_return,0.16666666666666666,0.09255807171826437,0.015426345286377395,0.38380211425519445
2023-10-08,ew_crypto,crypto,eth_return,0.16666666666666666,0.11818451051677037,0.019697418419461727,0.49006493076714563
2023-10-08,ew_crypto,crypto,gold_return,0.16666666666666666,0.015254980146896328,0.0025424966911493877,0.06325643484796678
2023-10-08,ew_crypto,crypto,moex_return,0.16666666666666666,0.013765502249701706,0.002294250374950284,0.05708015269917963
2023-10-08,ew_crypto,crypto,ofz_return,0.16666666666666666,0.0015101380631025404,0.0002516896771837567,0.006261951774451548
2023-10-08,ew_crypto,crypto,ruonia_return,0.16666666666666666,-0.00011228074962734104,-1.8713458271223505e-05,-0.00046558434393818534
2023-10-08,hybrid_base,base,gold_return,0.24974738413591474,0.014762517660534354,0.0036869001689786986,0.22012371526717125
2023-10-08,hybrid_base,base,moex_return,0.24196387817629783,0.03400750549401486,0.00822858791643359,0.4912819063581156
2023-10-08,hybrid_base,base,ofz_return,0.43328873768778736,0.011164814151560365,0.0048375882302483355,0.28882471598627
2023-10-08,hybrid_base,base,ruonia_return,0.075,-5.1439665974005414e-05,-3.857974948050406e-06,-0.00023033761155723712
2023-10-08,hybrid_crypto,crypto,btc_return,0.05426302613732678,0.06798193344575268,0.0036889054314328874,0.17980686452353026
2023-10-08,hybrid_crypto,crypto,eth_return,0.04865508430870283,0.08550133114202299,0.004160074475221447,0.2027728716491895
2023-10-08,hybrid_crypto,crypto,gold_return,0.21566146371280195,0.016550594491825242,0.003569325433424069,0.17397822377864028
2023-10-08,hybrid_crypto,crypto,moex_return,0.2038383112513965,0.0278620190556593,0.0056793469123598206,0.27682616966847845
