rebalance_date,strategy,diversification_ratio
2022-12-25,mv_sample_crypto,1.6297293015033656
2022-12-25,mv_shrink_base,1.7810284580562192
2022-12-25,mv_shrink_crypto,1.7563659969337104
2022-12-25,rp_sample_base,1.5860919473451711
2022-12-25,rp_sample_crypto,1.6252017891820763
2022-12-25,rp_shrink_base,1.916998869771056
2022-12-25,rp_shrink_crypto,1.679062634260156
2023-04-09,aw_base,1.4540533913643579
2023-04-09,aw_crypto,1.5754689344831774
2023-04-09,ew_base,1.5378810140037271
2023-04-09,ew_crypto,1.2875619627856982
2023-04-09,hybrid_base,1.5308875566311781
2023-04-09,hybrid_crypto,1.6013848275564282
2023-04-09,hybrid_loose_base,1.5625252757491097
2023-04-09,hybrid_loose_crypto,1.6132886046418569
2023-04-09,hybrid_ruonia_capped_base,1.5308875566311781
2023-04-09,hybrid_ruonia_capped_crypto,1.6013848275564282
2023-04-09,hybrid_unconstrained_base,1.5770534104249172
2023-04-09,hybrid_unconstrained_crypto,1.619643709576253
2023-04-09,mv_sample_base,1.5370919525371851
2023-04-09,mv_sample_crypto,1.5976324887395519
2023-04-09,mv_shrink_base,1.7696467799414923
2023-04-09,mv_shrink_crypto,1.7513019538718435
2023-04-09,rp_sample_base,1.5770534104249172
2023-04-09,rp_sample_crypto,1.619643709576253
2023-04-09,rp_shrink_base,1.909733345682367
2023-04-09,rp_shrink_crypto,1.67458546012529
2023-07-09,aw_base,1.4963536341329682
2023-07-09,aw_crypto,1.6785222294206272
2023-07-09,ew_base,1.5801585540994298
2023-07-09,ew_crypto,1.3309258652241323
2023-07-09,hybrid_base,1.5827297342212978
2023-07-09,hybrid_crypto,1.710038959199324
2023-07-09,hybrid_loose_base,1.6198809865085535
2023-07-09,hybrid_loose_crypto,1.7249133119771245
2023-07-09,hybrid_ruonia_capped_base,1.5827297342212978
2023-07-09,hybrid_ruonia_capped_crypto,1.710038959199324
2023-07-09,hybrid_unconstrained_base,1.637694099899105
2023-07-09,hybrid_unconstrained_crypto,1.7330148920740103
2023-07-09,mv_sample_base,1.5500780638106948
2023-07-09,mv_sample_crypto,1.6532976744712125
2023-07-09,mv_shrink_base,1.8471612406385398
2023-07-09,mv_shrink_crypto,1.7586903389666027
2023-07-09,rp_sample_base,1.637694099899105
2023-07-09,rp_sample_crypto,1.7330148920740103
2023-07-09,rp_shrink_base,1.9506807916636115
2023-07-09,rp_shrink_crypto,2.0197765286286096
2023-10-08,aw_base,1.486921283647248
2023-10-08,aw_crypto,1.6767638533860931
2023-10-08,ew_base,1.570237018093801
2023-10-08,ew_crypto,1.3342894091875859
2023-10-08,hybrid_base,1.577416263432702
2023-10-08,hybrid_crypto,1.7101451454938383
2023-10-08,hybrid_loose_base,1.6172011841021723
2023-10-08,hybrid_loose_crypto,1.7258725720561328
2023-10-08,hybrid_ruonia_capped_base,1.577416263432702
2023-10-08,hybrid_ruonia_capped_crypto,1.7101451454938383
2023-10-08,hybrid_unconstrained_base,1.883067559072448
2023-10-08,hybrid_unconstrained_crypto,1.7344246291030907
2023-10-08,mv_sample_base,1.4464791230226568
2023-10-08,mv_sample_crypto,1.5506925088698915
2023-10-08,mv_shrink_base,1.8473210673690763
2023-10-08,mv_shrink_crypto,1.7605864167426224
2023-10-08,rp_sample_base,1.883067559072448
2023-10-08,rp_sample_crypto,1.7344246291030907
2023-10-08,rp_shrink_base,1.9472633262486134
2023-10-08,rp_shrink_crypto,2.019924786329239
2024-01-21,aw_base,1.484272955384715
2024-01-21,aw_crypto,1.6776303292872845
2024-01-21,ew_base,1.5651596524833533
2024-01-21,ew_crypto,1.333512821708453
2024-01-21,hybrid_base,1.5708834279589898
2024-01-21,hybrid_crypto,1.7075817258922108
2024-01-21,hybrid_loose_base,1.608819203228015
2024-01-21,hybrid_loose_crypto,1.7214976105926303
2024-01-21,hybrid_ruonia_capped_base,1.5708834279589898
2024-01-21,hybrid_ruonia_capped_crypto,1.7075817258922108
2024-01-21,hybrid_unconstrained_base,1.875393709288553
2024-01-21,hybrid_unconstrained_crypto,1.7290076597661606
2024-01-21,mv_sample_base,1.3991966639551836
2024-01-21,mv_sample_crypto,1.470990362856094
2024-01-21,mv_shrink_base,1.8493516951513664
2024-01-21,mv_shrink_crypto,1.7552476378351392
2024-01-21,rp_sample_base,1.875393709288553
2024-01-21,rp_sample_crypto,1.7290076597661606
2024-01-21,rp_shrink_base,1.942012724220665
2024-01-21,rp_shrink_crypto,2.0153717244370437
2024-04-21,aw_base,1.4713752229732442
2024-04-21,aw_crypto,1.6650051600857145
2024-04-21,ew_base,1.546286255555294
2024-04-21,ew_crypto,1.3388801590078288
2024-04-21,hybrid_base,1.5574018758153871
2024-04-21,hybrid_crypto,1.6915446428295418
2024-04-21,hybrid_loose_base,1.5962691322903113
2024-04-21,hybrid_loose_crypto,1.7031441584695453
2024-04-21,hybrid_ruonia_capped_base,1.5574018758153871
2024-04-21,hybrid_ruonia_capped_crypto,1.6915446428295418
2024-04-21,hybrid_unconstrained_base,1.851711479429081
2024-04-21,hybrid_unconstrained_crypto,1.7090634878804813
2024-04-21,mv_sample_base,1.2548501656826463
2024-04-21,mv_sample_crypto,1.254894330836403
2024-04-21,mv_shrink_base,1.8462291666119908
2024-04-21,mv_shrink_crypto,1.7339896458864208
2024-04-21,rp_sample_base,1.851711479429081
